file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,110,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,8
style.css,111,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,16
style.css,112,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,32
style.css,113,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,0
style.css,114,css,67505467,RyanCao,2025-04-09,20:42:38,-07:00,2025-04-09T20:42:38-07:00,0,0
style.css,115,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,11
style.css,116,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,15
style.css,117,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,18
style.css,118,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,0
style.css,119,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,14
style.css,120,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,24
style.css,121,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,0
style.css,122,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,11
style.css,123,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,16
style.css,124,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,14
style.css,125,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,18
style.css,126,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,25
style.css,127,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,0
style.css,128,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,0
style.css,129,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,19
style.css,130,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,32
style.css,131,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,18
style.css,132,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,21
style.css,133,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,0
style.css,134,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,0
style.css,135,css,a5085820,RyanCao,2025-04-25,20:39:10,-07:00,2025-04-25T20:39:10-07:00,0,19
